id,left,top,right,bottom,OBJECTID_1,OBJECTID,Major_FA,SubArea,Division,SubDivisio,Unit,Area_Full,Area_27,Area_km2,x,y,Latitude,Longitude
"409",1953647.37175105,7814490.6683848,1973647.37175105,7834490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1953647.372,7814490.668,57.265,17.550
"410",1953647.37175105,7794490.6683848,1973647.37175105,7814490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1953647.372,7794490.668,57.168,17.550
"411",1953647.37175105,7774490.6683848,1973647.37175105,7794490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1953647.372,7774490.668,57.070,17.550
"412",1953647.37175105,7754490.6683848,1973647.37175105,7774490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1953647.372,7754490.668,56.972,17.550
"413",1953647.37175105,7734490.6683848,1973647.37175105,7754490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1953647.372,7734490.668,56.874,17.550
"414",1953647.37175105,7714490.6683848,1973647.37175105,7734490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1953647.372,7714490.668,56.776,17.550
"415",1953647.37175105,7694490.6683848,1973647.37175105,7714490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1953647.372,7694490.668,56.678,17.550
"416",1953647.37175105,7674490.6683848,1973647.37175105,7694490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1953647.372,7674490.668,56.579,17.550
"429",1973647.37175105,8174490.6683848,1993647.37175105,8194490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1973647.372,8174490.668,58.973,17.730
"430",1973647.37175105,8154490.6683848,1993647.37175105,8174490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1973647.372,8154490.668,58.880,17.730
"431",1973647.37175105,8134490.6683848,1993647.37175105,8154490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1973647.372,8134490.668,58.787,17.730
"432",1973647.37175105,8114490.6683848,1993647.37175105,8134490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1973647.372,8114490.668,58.694,17.730
"433",1973647.37175105,8094490.6683848,1993647.37175105,8114490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1973647.372,8094490.668,58.600,17.730
"434",1973647.37175105,8074490.6683848,1993647.37175105,8094490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1973647.372,8074490.668,58.507,17.730
"435",1973647.37175105,8054490.6683848,1993647.37175105,8074490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1973647.372,8054490.668,58.413,17.730
"436",1973647.37175105,8034490.6683848,1993647.37175105,8054490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1973647.372,8034490.668,58.318,17.730
"437",1973647.37175105,8014490.6683848,1993647.37175105,8034490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1973647.372,8014490.668,58.224,17.730
"438",1973647.37175105,7994490.6683848,1993647.37175105,8014490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1973647.372,7994490.668,58.129,17.730
"439",1973647.37175105,7974490.6683848,1993647.37175105,7994490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1973647.372,7974490.668,58.034,17.730
"440",1973647.37175105,7954490.6683848,1993647.37175105,7974490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1973647.372,7954490.668,57.939,17.730
"441",1973647.37175105,7934490.6683848,1993647.37175105,7954490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1973647.372,7934490.668,57.843,17.730
"442",1973647.37175105,7914490.6683848,1993647.37175105,7934490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1973647.372,7914490.668,57.748,17.730
"443",1973647.37175105,7894490.6683848,1993647.37175105,7914490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1973647.372,7894490.668,57.652,17.730
"444",1973647.37175105,7874490.6683848,1993647.37175105,7894490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1973647.372,7874490.668,57.555,17.730
"445",1973647.37175105,7854490.6683848,1993647.37175105,7874490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1973647.372,7854490.668,57.459,17.730
"446",1973647.37175105,7834490.6683848,1993647.37175105,7854490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1973647.372,7834490.668,57.362,17.730
"447",1973647.37175105,7814490.6683848,1993647.37175105,7834490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1973647.372,7814490.668,57.265,17.730
"448",1973647.37175105,7794490.6683848,1993647.37175105,7814490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1973647.372,7794490.668,57.168,17.730
"449",1973647.37175105,7774490.6683848,1993647.37175105,7794490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1973647.372,7774490.668,57.070,17.730
"450",1973647.37175105,7754490.6683848,1993647.37175105,7774490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1973647.372,7754490.668,56.972,17.730
"451",1973647.37175105,7734490.6683848,1993647.37175105,7754490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1973647.372,7734490.668,56.874,17.730
"452",1973647.37175105,7714490.6683848,1993647.37175105,7734490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1973647.372,7714490.668,56.776,17.730
"453",1973647.37175105,7694490.6683848,1993647.37175105,7714490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1973647.372,7694490.668,56.678,17.730
"454",1973647.37175105,7674490.6683848,1993647.37175105,7694490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1973647.372,7674490.668,56.579,17.730
"469",1993647.37175105,8134490.6683848,2013647.37175105,8154490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1993647.372,8134490.668,58.787,17.909
"470",1993647.37175105,8114490.6683848,2013647.37175105,8134490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1993647.372,8114490.668,58.694,17.909
"471",1993647.37175105,8094490.6683848,2013647.37175105,8114490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1993647.372,8094490.668,58.600,17.909
