id,left,top,right,bottom,Area,OBJECTID,Ecoregion,Shape_Leng,Shape_Le_1,Shape_Area,fid,cat,x,y
"580",15.76909,56.06423,15.86909,55.96423,69443858.359,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.819,56.014
"581",15.76909,55.96423,15.86909,55.86423,69622022.638,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.819,55.914
"582",15.76909,55.86423,15.86909,55.76423,69799964.938,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.819,55.814
"583",15.76909,55.76423,15.86909,55.66423,69977684.729,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.819,55.714
"584",15.76909,55.66423,15.86909,55.56423,70155181.483,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.819,55.614
"585",15.76909,55.56423,15.86909,55.46423,70332454.672,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.819,55.514
"586",15.76909,55.46423,15.86909,55.36423,70509503.767,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.819,55.414
"587",15.76909,55.36423,15.86909,55.26423,70686328.244,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.819,55.314
"588",15.76909,55.26423,15.86909,55.16423,70862927.576,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.819,55.214
"621",15.86909,56.16423,15.96909,56.06423,69265472.634,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.919,56.114
"622",15.86909,56.06423,15.96909,55.96423,69443858.359,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.919,56.014
"623",15.86909,55.96423,15.96909,55.86423,69622022.638,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.919,55.914
"624",15.86909,55.86423,15.96909,55.76423,69799964.938,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.919,55.814
"625",15.86909,55.76423,15.96909,55.66423,69977684.729,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.919,55.714
"626",15.86909,55.66423,15.96909,55.56423,70155181.483,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.919,55.614
